c3,year,id,country,c2,gini,ge0,ge1,ge2,a025,a050,a075,a1,a2,palma,ratio_top20bottom20,bottom40,q1,q2,q3,q4,q5,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,bottom5,top5,resource,resource_detailed,scale,scale_detailed,sharing_unit,reference_unit,areacovr,areacovr_detailed,popcovr,popcovr_detailed,region_un,region_un_sub,region_wb,eu,oecd,incomegroup,mean,median,currency,reference_period,exchangerate,mean_usd,median_usd,gdp,population,revision,quality,quality_score,source,source_detailed,source_comments,survey,link,pop_share,inc_share,w_ge0,w_ge1,w_ge2,w_a050,w_a1,b_ge0,b_ge1,b_ge2,b_a050,b_a1,wiidcompanion,resource_pref,scale_pref,quality_pref,shares_nonnull,rank_key
COD,2020,4922,"Congo, Democratic Republic of the",CD,44.67,,,,,,,,,2.36,9.31,15.09,5.49,9.6,13.66,20.17,51.09,2.13,3.36,4.33,5.2700000000000005,6.26,7.41,8.950000000000001,11.21,15.41,35.67,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Low income,638.0,431.0,US$2021PPP,Year,,,,1278.0,95990000.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2004-2012,EGI-ODD,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
COG,2012,4926,"Congo, Republic of the",CG,48.94,,,,,,,,,3.0500000000000003,12.790000000000001,12.43,4.2,8.23,13.17,20.67,53.730000000000004,1.56,2.64,3.5700000000000003,4.66,5.9,7.2700000000000005,9.02,11.66,15.81,37.92,,36.0,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,1676.0,1088.0,US$2021PPP,Year,,,,9080.0,4740450.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2005-2011,ECOM,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
COL,2023,4907,Colombia,CO,54.29,57.96,57.28,118.11,13.24,24.68,34.78,43.99,76.59,4.22,20.31,9.92,2.88,7.05,11.8,19.89,58.38,0.8300000000000001,2.05,3.02,4.03,5.18,6.63,8.5,11.39,16.5,41.88,0.22,28.96,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,OECD,Upper middle income,4990.0,2870.0,US$2021PPP,Year,0.0005267123106963905,,,18692.0,52321152.0,New 2025,High,13,Luxembourg Income Study,Luxembourg Income Study (LIS),Own construction based on LIS Database through LISSY,Great Integrated Household Survey (GEIH),https://estadisticas.cepal.org/cepalstat/WEB_CEPALSTAT/estadisticasIndicadores.asp?idioma=i,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
COM,2014,4919,Comoros,KM,45.33,,,,,,,,,2.48,11.24,13.56,4.48,9.08,13.91,22.19,50.34,1.62,2.86,3.97,5.11,6.26,7.66,9.86,12.34,16.69,33.65,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,2345.0,1602.0,US$2021PPP,Year,,,,3397.0,711503.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),,EESIC,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
CPV,2015,3798,Cape Verde,CV,42.38,,,,,,,,,2.1,8.61,15.39,5.66,9.73,14.3,21.6,48.71,2.22,3.44,4.36,5.36,6.48,7.83,9.540000000000001,12.06,16.42,32.29,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,3469.0,2456.0,US$2021PPP,Year,0.010061810350718977,,,7560.0,512393.96875,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Cabo Verde Instituto Nacional de Estatistica 2016,IDRF,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
CRI,2023,5247,Costa Rica,CR,46.71,38.4,39.58,63.36,,17.69,,31.88,53.660000000000004,2.66,11.6,13.18,4.49,8.69,13.36,21.37,52.08,1.6400000000000001,2.85,3.84,4.8500000000000005,5.97,7.390000000000001,9.28,12.09,17.03,35.050000000000004,,26.3,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,Central America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,342769.0,6301.0,Local currency unit,Year,0.0019017582109109427,,,26293.0,5105525.0,New 2025,High,11,SEDLAC,SEDLAC,New series,Encuesta Nacional de Hogares (ENAHO),https://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2024_inequality_LAC.xlsx,,,,,,,,,,,,,No,2.0,2.0,3.0,15,"(3.0, 2.0, 2.0, 15)"
CSK,1992,6106,Czechoslovakia,CS,24.5,,,,,,,,,0.68,3.25,25.29,10.94,14.35,17.48,21.66,35.57,5.3,6.6000000000000005,7.4,8.1,8.8,9.6,10.5,11.700000000000001,13.5,18.5,,10.6,Income (gross),"Income, gross",No adjustment,No adjustment,Person,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,Non-EU,Non-OECD,High income,39552.0,38700.0,Czechoslovak koruna,Month,,,,14092.0,15599000.0,,Low,9,Research study,Milanovic and Ying 1996,Census of employers,Microcensus 1989,,,,,,,,,,,,,,Yes,3.0,0.0,1.0,5,"(1.0, 3.0, 0.0, 5)"
CUB,2000,5501,Cuba,CU,38.0,,,,,,,,,0.9,4.28,20.2,7.8,12.4,19.7,26.7,33.4,3.4,4.4,5.3,7.1000000000000005,9.3,10.4,12.6,14.1,15.3,18.1,,9.5,Income (net/gross),"Income, net/gross",No adjustment,No adjustment,Person,Person,All,All,All,All,Americas,Caribbean,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,1255.0,,Cuban peso,Year,0.836666665666667,,,4811.0,11109109.0,New 2018,Low,6,Research study,Espina 2008,Annual income figures by sector,Population Census and Wage and Salary Survey,,,,,,,,,,,,,,Yes,2.0,0.0,1.0,0,"(1.0, 2.0, 0.0, 0)"
CYP,2023,5687,Cyprus,CY,31.53,1658.78,1949.82,3145.7200000000003,454.1,852.02,1206.84,1528.5,2610.29,1.23,4.68,21.37,8.65,12.73,16.48,21.68,40.47,3.62,5.03,5.94,6.79,7.73,8.75,10.1,11.58,14.22,26.25,1.51,17.1,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,EU,Non-OECD,High income,14673.0,12148.0,Euro,Year,0.517443261666667,,,53421.0,1344976.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
CZE,2023,6067,Czechia,CZ,25.900000000000002,1171.93,1197.51,1475.98,291.47,569.9300000000001,839.72,1105.8600000000001,2364.05,0.9,3.71,24.25,9.72,14.540000000000001,17.68,22.06,36.01,3.7800000000000002,5.94,6.86,7.68,8.43,9.25,10.27,11.790000000000001,14.19,21.82,1.47,13.18,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Eastern Europe,Europe and Central Asia,EU,OECD,High income,10388.0,9166.0,Euro,Year,0.049276457351226086,1464.0,,49681.0,10809716.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
DEU,2023,9896,Germany,DE,30.89,1659.5,1733.71,2550.14,415.35,802.12,1170.19,1529.1200000000001,3228.78,1.16,4.8100000000000005,21.18,8.16,13.01,17.09,22.490000000000002,39.24,3.21,4.95,6.0200000000000005,6.99,7.99,9.11,10.4,12.09,14.73,24.51,1.25,15.200000000000001,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Western Europe,Europe and Central Asia,EU,OECD,High income,21694.0,18443.0,Euro,Year,1.2416730302409467,,,63578.0,84548232.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
DJI,2017,6636,Djibouti,DJ,41.59,,,,,,,,,2.04,8.81,15.82,5.4,10.42,15.05,21.56,47.57,1.94,3.45,4.7,5.72,6.88,8.17,9.76,11.790000000000001,15.26,32.31,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Middle East and North Africa,Non-EU,Non-OECD,Lower middle income,1987.0,1491.0,US$2021PPP,Year,0.005626797058310498,,,5399.0,1054841.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),World Bank. Compilation,EDAM,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
DMA,2008,6637,Dominica,DM,44.4,,,,,,,,,2.54,9.84,14.68,5.32,9.36,13.44,19.57,52.33,2.04,3.2800000000000002,4.24,5.12,6.22,7.22,8.65,10.92,15.09,37.24,,,Consumption,Consumption,Equivalized,Equivalized,Household,Person,All,All,All,All,Americas,Caribbean,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,,,,,0.37037037037037035,,,16438.0,68854.0,New 2018,Average,13,Research study,Kairi Consultants 2010,Country Poverty Assessment 2008-2009,,,,,,,,,,,,,,,Yes,1.0,1.0,2.0,15,"(2.0, 1.0, 1.0, 15)"
DNK,2023,6624,Denmark,DK,29.42,1699.44,2161.17,7937.610000000001,470.64,854.8000000000001,1205.84,1562.88,4354.02,1.09,4.32,22.580000000000002,8.92,13.66,17.080000000000002,21.85,38.5,3.43,5.49,6.41,7.24,8.05,9.03,10.17,11.67,13.92,24.580000000000002,1.24,16.15,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Northern Europe,Europe and Central Asia,EU,OECD,High income,27428.0,23277.0,Euro,Year,0.1266670304825264,,,72097.0,5948136.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
DOM,2023,6844,Dominican Republic,DO,38.7,23.05,27.400000000000002,34.44,13.33,12.3,34.03,22.7,36.24,1.72,7.3500000000000005,17.02,6.15,10.870000000000001,15.450000000000001,22.34,45.18,2.32,3.83,4.89,5.98,7.0600000000000005,8.39,10.05,12.290000000000001,15.83,29.35,0.29,29.92,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,Caribbean,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,13743.0,4138.0,Local currency unit,Year,0.06550250519789656,585.0,,23088.0,11331265.0,New 2025,High,11,United Nations,ECLAC,New series,Encuesta Continua Nacional de Fuerza de Trabajo (ECNFT),https://estadisticas.cepal.org/cepalstat/WEB_CEPALSTAT/estadisticasIndicadores.asp?idioma=i,,,,,,,,,,,,,Yes,2.0,2.0,3.0,15,"(3.0, 2.0, 2.0, 15)"
DZA,2012,25,Algeria,DZ,27.62,,,,,,,,,0.99,3.98,23.02,9.36,13.66,17.47,22.28,37.22,4.05,5.3100000000000005,6.36,7.3100000000000005,8.24,9.23,10.39,11.9,14.36,22.86,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Upper middle income,3367.0,2936.0,US$2021PPP,Year,,,,14698.0,37646164.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),,ENCNVM,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
ECU,2023,7038,Ecuador,EC,44.57,35.2,35.660000000000004,55.39,,16.18,,29.67,51.02,2.38,10.68,13.950000000000001,4.66,9.290000000000001,14.21,22.09,49.77,1.6400000000000001,3.02,4.12,5.17,6.37,7.84,9.68,12.41,16.59,33.18,,43.0,Income (net/gross),"Income, net/gross",Per capita,Per capita,Household,Person,All,All,All,All,Americas,South America,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,276.0,3833.0,Local currency unit,Year,1.0,898.0,,14472.0,17980082.0,New 2025,High,11,SEDLAC,SEDLAC,New series,"Encuesta Nacional de Empleo, Desempleo y Subempleo (ENEMDU)",https://www.cedlas.econo.unlp.edu.ar/wp/wp-content/uploads/2024_inequality_LAC.xlsx,,,,,,,,,,,,,No,2.0,2.0,3.0,15,"(3.0, 2.0, 2.0, 15)"
EGY,2020,7139,Egypt,EG,31.89,21.53,31.830000000000002,140.91,6.72,11.77,15.870000000000001,19.37,30.26,1.26,4.6000000000000005,21.740000000000002,8.99,12.75,16.080000000000002,20.830000000000002,41.35,3.84,5.15,5.98,6.7700000000000005,7.58,8.5,9.620000000000001,11.21,13.870000000000001,27.48,1.46,20.88,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Northern Africa,Middle East and North Africa,Non-EU,Non-OECD,Lower middle income,2467.0,1979.0,US$2021PPP,Year,0.17787444921710996,,,15309.0,109315128.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Own construction based on ERF/LIS Database through LISSY,HIECS,https://pip.worldbank.org/,,,,,,,,,,,,,No,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
ESP,2023,21905,Spain,ES,33.71,22.5,19.46,23.11,4.84,9.69,14.71,20.150000000000002,56.07,1.31,6.21,18.94,6.5200000000000005,12.42,17.27,23.29,40.49,2.21,4.32,5.65,6.7700000000000005,8.040000000000001,9.23,10.71,12.59,15.64,24.86,0.68,14.86,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,EU,OECD,High income,17801.0,15247.0,US$2021PPP,Year,1.2435954832612048,,,47142.0,47911580.0,New 2025,High,13,Luxembourg Income Study,Luxembourg Income Study (LIS),Own construction based on LIS Database through LISSY,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
EST,2023,7677,Estonia,EE,32.32,1920.72,1740.83,1981.92,431.83,860.21,1293.49,1747.53,4686.95,1.22,5.25,20.04,7.640000000000001,12.4,16.72,23.18,40.07,2.73,4.91,5.84,6.5600000000000005,7.68,9.040000000000001,10.63,12.55,15.58,24.490000000000002,0.91,14.25,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Northern Europe,Europe and Central Asia,EU,OECD,High income,11806.0,9855.0,Euro,Year,0.07946733625611153,1032.0,,42472.0,1367196.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
ETH,2016,7713,Ethiopia,ET,33.0,,,,,,,,,1.46,5.8500000000000005,19.44,7.3500000000000005,12.09,16.35,21.21,43.01,2.89,4.46,5.57,6.5200000000000005,7.63,8.72,9.78,11.42,14.55,28.46,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Eastern Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Low income,1365.0,1118.0,US$2021PPP,Year,0.14904591980584278,,,2085.0,106718168.0,New 2019,High,11,National statistical authority,Ethiopia National Planning Commission,Poverty Analysis Study,Household Income Consumption and Expenditure Survey (HICES),http://www.csa.gov.et/survey-report/category/357-poverty-analysis?download=901:2016-poverty-interim-report-1,,,,,,,,,,,,,No,1.0,2.0,3.0,0,"(3.0, 1.0, 2.0, 0)"
FIN,2023,8306,Finland,FI,27.94,1358.08,1557.01,5074.21,359.91,680.57,979.85,1269.9,2807.19,1.0,4.04,23.07,9.24,13.83,17.27,22.35,37.31,3.7800000000000002,5.47,6.49,7.34,8.120000000000001,9.15,10.38,11.97,14.21,23.1,1.55,14.46,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Northern Europe,Europe and Central Asia,EU,OECD,High income,22329.0,19182.0,Euro,Year,0.886034166666667,,,57064.0,5601185.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
FJI,2020,7734,Fiji,FJ,30.71,,,,,,,,,1.1400000000000001,4.7,21.3,8.38,12.92,16.81,22.490000000000002,39.410000000000004,3.47,4.91,6.01,6.91,7.88,8.93,10.31,12.18,15.18,24.23,,19.0,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Melanesia,East Asia and the Pacific,Non-EU,Non-OECD,Upper middle income,2886.0,2425.0,US$2021PPP,Year,0.6777099503069178,,,11255.0,914963.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2002-2013,HIES,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
FRA,2023,8870,France,FR,31.490000000000002,1830.32,1825.48,2793.4700000000003,438.7,852.58,1257.26,1672.5900000000001,4482.53,1.19,5.16,20.69,7.61,13.08,17.36,22.64,39.31,2.9,4.72,6.0,7.08,8.09,9.27,10.53,12.11,14.64,24.67,1.1,15.55,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Western Europe,Europe and Central Asia,EU,OECD,High income,19381.0,16733.0,Euro,Year,0.886034166666667,,,55441.0,66438820.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
FSM,2013,15967,"Micronesia, Federated States of",FM,40.050000000000004,,,,,,,,,1.83,8.31,16.21,5.54,10.67,15.33,22.45,46.01,1.87,3.67,4.79,5.88,7.01,8.32,9.98,12.47,16.3,29.71,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Oceania,Micronesia,East Asia and the Pacific,Non-EU,Non-OECD,Lower middle income,2026.0,1541.0,US$2021PPP,Year,,,,3727.0,108121.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),,HIES,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
GAB,2017,8893,Gabon,GA,38.02,,,,,,,,,1.6400000000000001,7.33,16.9,6.05,10.85,15.74,23.01,44.35,2.24,3.81,4.8500000000000005,5.99,7.21,8.53,10.34,12.67,16.63,27.72,,45.300000000000004,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Upper middle income,4503.0,3531.0,US$2021PPP,Year,0.004070340588492297,,,19556.0,2156900.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Based on National Accounts,EGEP,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
GBR,2023,24694,United Kingdom,GB,34.96,19.22,25.21,48.92,4.51,8.83,13.1,17.48,46.230000000000004,1.25,5.34,19.98,7.51,12.47,17.04,22.89,40.09,2.89,4.62,5.74,6.73,7.890000000000001,9.15,10.52,12.370000000000001,15.040000000000001,25.04,1.08,15.44,Income (net),"Income, net",Equivalized,OECD-modified,Household,Person,All,All,All,All,Europe,Northern Europe,Europe and Central Asia,Non-EU,OECD,High income,39684.0,32385.0,British pound 2023,Year,0.6124725,,,54542.0,68682960.0,New 2025,High,11,Research study,Institute for Fiscal Studies,Own construction based on LIS Database through LISSY,Family Resources Survey (FRS),https://ifs.org.uk/living-standards-poverty-and-inequality-uk,,,,,,,,,,,,,No,4.0,1.0,3.0,0,"(3.0, 4.0, 1.0, 0)"
GEO,2022,9103,Georgia,GE,36.27,26.02,23.080000000000002,31.14,5.67,11.24,16.91,22.91,58.85,1.51,7.36,17.52,5.76,11.76,16.76,23.31,42.410000000000004,1.8900000000000001,3.87,5.25,6.51,7.75,9.01,10.51,12.8,15.91,26.5,0.6,16.17,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Asia,Western Asia,Europe and Central Asia,Non-EU,Non-OECD,Upper middle income,3346.0,2805.0,US$2021PPP,Year,0.6055987605412047,,,20967.0,3794784.0,New 2025,High,13,Luxembourg Income Study,Luxembourg Income Study (LIS),Own construction based on LIS Database through LISSY,Household Income and Expenditure Survey (HIES),https://pip.worldbank.org/,1.0,1.0,0.202,0.20700000000000002,0.29,0.096,0.183,0.001,0.001,0.001,0.0,0.001,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
GHA,2017,9915,Ghana,GH,43.51,,,,,,,,,2.25,10.38,14.3,4.68,9.620000000000001,14.8,22.3,48.6,1.61,3.06,4.2,5.42,6.69,8.11,9.86,12.44,16.39,32.21,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,1858.0,1364.0,US$2021PPP,Year,0.204796277898216,307.0,,5994.0,30008354.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 1991-2016,GLSS-VII,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
GIN,2019,10441,Guinea,GN,29.59,,,,,,,,,1.07,4.49,21.55,8.5,13.05,17.34,22.95,38.160000000000004,3.48,5.0200000000000005,6.03,7.0200000000000005,8.11,9.23,10.59,12.36,15.09,23.080000000000002,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Lower middle income,1605.0,1388.0,US$2021PPP,Year,0.0013265096204557517,,,3557.0,13034346.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2007-2012,EHCVM,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
GMB,2021,8910,"Gambia, The",GM,38.76,,,,,,,,,1.75,6.93,17.47,6.58,10.89,15.19,21.77,45.57,2.59,3.99,4.96,5.93,7.0200000000000005,8.17,9.72,12.05,15.040000000000001,30.53,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Low income,1856.0,1394.0,US$2021PPP,Year,0.03569904520198254,,,2778.0,2576010.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2015-2020,IHS,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
GNB,2022,10448,Guinea-Bissau,GW,33.44,,,,,,,,,1.32,5.25,19.85,7.930000000000001,11.92,16.15,22.37,41.63,3.39,4.54,5.46,6.46,7.47,8.68,10.22,12.14,15.5,26.13,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Western Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Low income,1419.0,1136.0,US$2021PPP,Year,0.003544755441199373,,,2507.0,2105529.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Series 2018-2021,EHCVM,https://pip.worldbank.org/,,,,,,,,,,,,,Yes,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
GNQ,2006,7341,Equatorial Guinea,GQ,50.2,,,,,,,,,,21.96,9.9,2.4,7.5,14.1,23.3,52.7,,,,,,,,,,,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Africa,Middle Africa,Sub-Saharan Africa,Non-EU,Non-OECD,Upper middle income,,,,,,,,32252.0,990343.0,New 2020,High,12,Other international organizations,AFRISTAT,Profile of Poverty in Equatorial Guinea,Enquete equato-guineenne aupres des menages pour l’evaluation de la pauvrete (EEH),https://catalog.ihsn.org/index.php/catalog/6815/download/81567,,,,,,,,,,,,,Yes,1.0,2.0,3.0,5,"(3.0, 1.0, 2.0, 5)"
GRC,2023,10304,Greece,GR,33.68,2184.83,2164.42,3501.1800000000003,515.5600000000001,996.9,1469.08,1962.6200000000001,5333.35,1.32,5.82,19.52,7.01,12.51,16.92,22.71,40.85,2.54,4.47,5.72,6.79,7.8500000000000005,9.08,10.43,12.27,15.030000000000001,25.82,0.86,16.57,Income (net),"Income, net",Per capita,Per capita,Household,Person,All,All,All,All,Europe,Southern Europe,Europe and Central Asia,EU,OECD,High income,7921.0,6680.0,Euro,Year,0.00704917859446428,,,36905.0,10242908.0,New 2025,High,13,Eurostat,Eurostat microdata,Own construction based on microdata,European Union Statistics on Income and Living Conditions (EU-SILC),https://ec.europa.eu/eurostat/web/income-and-living-conditions/data/database,,,,,,,,,,,,,Yes,4.0,2.0,3.0,15,"(3.0, 4.0, 2.0, 15)"
GRD,2018,10331,Grenada,GD,43.82,,,,,,,,,2.22,9.21,15.17,5.47,9.700000000000001,13.540000000000001,20.91,50.39,2.13,3.34,4.44,5.25,6.18,7.36,9.01,11.9,16.72,33.67,,,Consumption,Consumption,Per capita,Per capita,Household,Person,All,All,All,All,Americas,Caribbean,Latin America and the Caribbean,Non-EU,Non-OECD,Upper middle income,7778.0,5130.0,US$2021PPP,Year,,,,16975.0,115691.0,New 2025,Average,13,World Bank,Poverty and Inequality Platform (PIP),Country Poverty Assessment,SLCHB,https://pip.worldbank.org/,,,,,,,,,,,,,No,1.0,2.0,2.0,15,"(2.0, 1.0, 2.0, 15)"
GRL,2018,10328,Greenland,GL,35.4,,,,,,,,,1.41,6.390000000000001,18.51,6.58,11.94,16.18,23.26,42.050000000000004,2.1,4.47,5.5600000000000005,6.37,7.4,8.78,10.53,12.73,15.96,26.09,,,Income (net),"Income, net",Equivalized,Equivalized,Household,Person,All,All,All,All,Americas,Northern America,Europe and Central Asia,EU,OECD,High income,200343.0,,Danish krone,Year,,,,65979.0,56074.0,New 2019,High,13,National statistical authority,Statistics Greenland,,,http://www.stat.gl/dialog/topmain.asp?lang=en&subject=Income&sc=IN,,,,,,,,,,,,,Yes,4.0,1.0,3.0,15,"(3.0, 4.0, 1.0, 15)"
